amount,from_user_id,to_user_id,from_name,to_name,created_at
116.59,11,9,Lily,Julia,2020-07-13 05:47:05
610.19,6,2,Grace,Charlie,2020-07-06 19:02:53
896.80,4,12,Eva,Mia,2020-12-05 15:48:54
571.48,9,20,Julia,Alice,2020-04-27 16:06:35
202.08,13,2,Nora,Charlie,2020-11-09 13:49:25
917.22,9,10,Julia,Kyle,2020-05-04 06:03:34
961.25,19,3,Tina,David,2020-06-08 01:49:09
732.47,12,2,Mia,Charlie,2020-10-21 12:30:07
340.99,12,5,Mia,Frank,2020-05-10 17:52:09
927.19,12,6,Mia,Grace,2020-05-22 20:35:37
544.99,15,4,Paul,Eva,2020-04-03 15:50:41
266.43,4,17,Eva,Rachel,2020-04-15 15:12:03
351.10,15,20,Paul,Alice,1999-08-14 15:28:30
609.94,11,13,Lily,Nora,2020-08-26 02:05:14
497.11,5,9,Frank,Julia,2020-07-28 23:04:23
931.24,18,9,Steve,Julia,2020-05-21 09:58:20
787.07,19,6,Tina,Grace,2020-02-11 21:17:03
77.34,5,12,Frank,Mia,2020-10-11 07:35:27
263.18,5,15,Frank,Paul,2020-10-07 18:45:07
214.87,3,20,David,Alice,2020-02-04 13:47:49
857.57,20,4,Alice,Eva,2020-03-05 15:56:59
920.49,13,8,Nora,Ivan,2020-11-21 18:30:21
251.73,9,2,Julia,Charlie,2020-12-02 15:50:31
500.51,16,17,Quinn,Rachel,2020-12-24 18:27:21
327.80,10,5,Kyle,Frank,2020-05-12 17:19:45
302.72,2,15,Charlie,Paul,2020-08-10 08:57:57
893.13,3,5,David,Frank,2020-11-05 10:30:35
316.66,13,7,Nora,Hannah,2020-10-23 17:06:23
698.29,15,18,Paul,Steve,2020-11-29 03:21:37
859.32,13,10,Nora,Kyle,2020-01-10 12:27:19
877.68,6,17,Grace,Rachel,2020-07-23 06:25:56
508.01,14,3,Oscar,David,2020-12-29 10:58:24
937.58,17,1,Rachel,Bob,2020-02-02 15:28:01
515.15,20,18,Alice,Steve,2020-06-08 16:52:27
119.79,10,15,Kyle,Paul,2020-03-26 16:51:24
523.63,5,5,Frank,Frank,2020-07-10 05:52:54
911.53,20,2,Alice,Charlie,2020-07-31 04:47:32
728.86,2,20,Charlie,Alice,2020-11-08 13:43:05
425.13,6,10,Grace,Kyle,2020-02-03 13:28:37
569.47,18,2,Steve,Charlie,2020-04-07 12:14:47
533.86,10,7,Kyle,Hannah,2020-08-17 12:04:43
787.37,12,6,Mia,Grace,2020-07-20 11:38:32
245.16,16,12,Quinn,Mia,2020-02-27 06:43:37
370.32,7,16,Marshal,Quinn,2020-03-01 08:28:30
373.64,11,1,Lily,Bob,2020-06-05 15:24:48
964.68,7,5,Hannah,Frank,2020-04-10 22:15:53
757.60,10,8,Kyle,Ivan,2020-09-02 03:00:44
76.98,1,13,Bob,Nora,2020-02-21 18:21:02
271.13,6,6,Grace,Grace,2020-12-15 06:29:31
378.58,11,1,Lily,Bob,2020-08-23 17:01:31
115.57,11,15,Lily,Paul,2020-09-12 14:34:18
542.91,17,2,Rachel,Charlie,2020-09-11 02:57:54
539.30,17,16,Rachel,Quinn,2020-11-12 08:24:15
852.75,1,5,Bob,Frank,2020-06-12 19:04:12
503.59,15,9,Paul,Julia,2020-06-15 13:19:21
551.40,8,5,Ivan,Frank,2020-10-03 20:43:42
951.28,17,12,Rachel,Mia,2020-04-25 20:39:32
20.76,3,9,David,Julia,2020-11-01 19:23:11
154.14,7,20,Hannah,Alice,2020-05-16 14:15:29
994.79,9,14,Julia,Oscar,2020-12-05 07:23:10
616.21,14,18,Oscar,Steve,2020-02-21 05:55:53
403.71,17,12,Rachel,Mia,2020-06-15 01:14:47
410.41,9,15,Julia,Paul,2020-11-09 11:03:38
42.06,14,1,Oscar,Bob,2020-01-05 04:13:26
715.77,8,12,Ivan,Mia,2020-04-22 11:37:16
986.80,2,3,Charlie,David,2020-02-11 12:56:15
189.35,5,19,Frank,Tina,2020-11-19 03:44:18
36.52,2,14,Charlie,Oscar,2020-07-12 14:31:08
363.54,16,6,Quinn,Grace,2020-03-07 00:21:30
296.80,18,8,Steve,Ivan,2020-10-11 09:29:50
395.90,16,3,Quinn,David,2020-04-25 13:19:53
394.28,19,1,Tina,Bob,2020-10-08 01:55:22
54.77,4,15,Eva,Paul,2020-04-08 08:54:03
749.28,18,11,Steve,Lily,2020-10-19 12:55:37
291.24,14,2,Oscar,Charlie,2020-07-05 13:35:29
458.93,20,4,Alice,Eva,2020-07-21 15:22:13
687.24,6,10,Grace,Kyle,2020-09-16 17:34:49
965.19,9,2,Julia,Charlie,2020-10-16 02:59:36
268.31,16,12,Quinn,Mia,2020-12-09 04:59:56
593.54,19,11,Tina,Lily,2020-01-14 12:16:32
167.72,9,11,Julia,Lily,2020-11-13 05:22:24
406.00,8,4,Ivan,Eva,2020-04-29 02:28:05
382.59,11,8,Lily,Ivan,2020-03-20 03:58:56
830.11,4,14,Eva,Oscar,2020-07-09 03:16:28
49.40,11,14,Lily,Oscar,2020-02-28 20:36:22
108.95,15,16,Paul,Quinn,2020-08-24 22:58:07
759.82,2,2,Charlie,Charlie,2020-01-25 12:37:37
880.12,7,12,Hannah,Mia,2020-10-19 03:26:56
451.30,6,3,Grace,David,2020-02-14 11:06:45
515.75,1,19,Bob,Tina,2020-02-18 13:41:47
196.94,11,7,Lily,Hannah,2020-02-13 01:54:52
555.87,15,3,Paul,David,2020-11-03 14:10:00
766.63,14,7,Oscar,Hannah,2020-05-14 17:20:58
329.02,9,13,Julia,Nora,2020-05-04 20:46:22
725.68,8,14,Ivan,Oscar,2020-07-04 23:02:22
970.87,9,5,Julia,Frank,2020-09-19 11:46:17
209.53,1,14,Bob,Oscar,2020-07-07 09:24:52
857.15,15,2,Paul,Charlie,2020-11-17 16:02:21
928.98,19,2,Tina,Charlie,2020-04-01 19:10:38
836.52,2,1,Charlie,Bob,2020-07-02 17:49:10
219.93,10,15,Kyle,Paul,2020-08-16 04:52:59
730.95,6,2,Grace,Charlie,2020-03-30 01:58:44
817.48,8,12,Ivan,Mia,2020-07-26 20:26:35
548.60,18,11,Steve,Lily,2020-11-01 19:14:11
487.32,17,8,Rachel,Ivan,2020-04-19 12:32:18
196.60,6,17,Grace,Rachel,2020-07-29 20:32:11
962.24,5,20,Frank,Alice,2020-04-29 00:57:39
884.37,18,14,Steve,Oscar,2020-05-07 02:16:34
589.35,8,11,Ivan,Lily,2020-10-24 06:41:45
589.46,7,5,Hannah,Frank,2020-11-03 04:43:16
821.26,14,16,Oscar,Quinn,2020-11-08 01:56:18
38.86,10,14,Kyle,Oscar,2020-12-25 16:54:18
307.12,10,7,Kyle,Hannah,2020-07-22 00:46:08
796.99,3,19,David,Tina,2020-06-12 11:24:47
712.54,14,11,Oscar,Lily,2020-04-07 16:36:18
61.75,15,2,Paul,Charlie,2020-12-09 01:04:05
994.17,12,8,Mia,Ivan,2020-09-14 17:15:29
8.11,15,15,Paul,Paul,2020-11-21 16:48:59
429.83,19,15,Tina,Paul,2020-05-02 21:06:49
250.23,2,20,Charlie,Alice,2020-11-21 09:42:19
275.75,8,13,Ivan,Nora,2020-10-02 13:27:12
581.97,10,11,Kyle,Lily,2020-07-19 06:07:38
359.14,12,11,Mia,Lily,2020-07-26 10:07:14
71.13,1,10,Bob,Kyle,2020-07-19 01:01:19
683.65,3,9,David,Julia,2020-09-29 05:43:54
418.02,13,12,Nora,Mia,2020-02-17 06:29:11
821.76,9,17,Julia,Rachel,2020-04-16 08:45:36
466.22,8,14,Ivan,Oscar,2020-06-27 14:12:27
487.37,16,11,Quinn,Lily,2020-08-23 16:10:16
790.52,10,11,Kyle,Lily,2020-01-16 13:04:34
633.38,19,6,Tina,Grace,2020-05-17 00:10:43
70.91,17,6,Rachel,Grace,2020-12-06 10:23:02
265.28,11,17,Lily,Rachel,2020-05-11 12:19:34
609.17,14,9,Oscar,Julia,2020-12-19 05:25:13
407.50,18,16,Steve,Quinn,2020-10-04 21:14:39
837.51,4,12,Eva,Mia,2020-06-22 11:00:14
912.34,13,18,Nora,Steve,2020-04-17 23:48:47
337.02,9,11,Julia,Lily,2020-12-23 09:24:40
253.57,11,5,Lily,Frank,2020-06-28 07:20:49
379.82,16,15,Quinn,Paul,2020-12-26 05:29:06
304.41,16,12,Quinn,Mia,2020-06-27 21:10:49
518.26,9,1,Julia,Bob,2020-10-16 12:13:16
39.49,7,5,Hannah,Frank,2020-02-15 07:04:38
348.77,6,2,Grace,Charlie,2020-05-23 21:36:58
561.53,1,17,Bob,Rachel,2020-01-17 09:14:48
139.82,8,12,Ivan,Mia,2020-02-07 22:25:18
274.25,9,20,Julia,Alice,2020-01-29 08:14:49
656.95,10,9,Kyle,Julia,2020-09-15 04:35:58
901.81,19,1,Tina,Bob,2020-06-05 03:52:30
786.90,7,3,Hannah,David,2020-08-27 22:10:00
32.78,2,5,Charlie,Frank,2020-05-04 01:17:07
714.24,10,19,Kyle,Tina,2020-09-29 21:21:43
551.92,11,5,Lily,Frank,2020-08-14 19:37:15
721.34,11,11,Lily,Lily,2020-12-08 13:25:41
44.19,15,6,Paul,Grace,2020-06-17 16:03:46
815.85,6,10,Grace,Kyle,2020-02-10 15:19:57
640.24,12,18,Mia,Steve,2020-10-23 04:26:59
901.19,20,5,Alice,Frank,2020-08-28 22:02:17
362.95,2,4,Charlie,Eva,2020-01-21 13:19:24
617.47,7,6,Hannah,Grace,2020-10-03 14:29:04
334.84,16,8,Quinn,Ivan,2020-07-22 04:05:12
149.53,14,19,Oscar,Tina,2020-12-01 12:46:32
530.78,19,9,Tina,Julia,2020-02-05 08:43:25
104.08,20,14,Alice,Oscar,2020-12-13 20:38:33
805.00,19,3,Tina,David,2020-02-16 13:36:28
231.94,4,8,Eva,Ivan,2020-07-16 03:40:18
862.45,10,4,Kyle,Eva,2020-12-14 08:05:39
875.83,1,12,Bob,Mia,2020-11-08 01:24:24
620.67,17,1,Rachel,Bob,2020-06-12 06:12:47
510.55,16,3,Quinn,David,2020-11-23 16:01:49
890.31,5,1,Frank,Bob,2020-10-30 00:35:31
406.07,12,14,Mia,Oscar,2020-12-29 09:29:08
666.58,12,20,Mia,Alice,2020-03-19 03:47:53
827.37,10,12,Kyle,Mia,2020-02-27 17:19:34
117.96,4,8,Eva,Ivan,2020-05-13 21:02:24
402.14,2,9,Charlie,Julia,2020-09-04 20:50:36
259.08,18,5,Steve,Frank,2020-03-22 01:25:25
962.70,7,13,Hannah,Nora,2020-12-16 05:20:52
120.75,13,6,Nora,Grace,2020-06-18 03:53:14
174.89,7,19,Hannah,Tina,2020-04-04 16:56:37
842.37,20,6,Alice,Grace,2020-09-15 23:33:56
577.14,20,14,Alice,Oscar,2020-10-02 05:37:23
706.01,17,2,Rachel,Charlie,2020-05-30 01:19:33
946.21,14,8,Oscar,Ivan,2020-01-25 04:54:55
580.27,14,13,Oscar,Nora,2020-10-02 18:36:04
268.41,5,14,Frank,Oscar,2020-08-13 18:35:03
216.69,6,20,Grace,Alice,2020-12-04 19:48:38
945.50,16,16,Quinn,Quinn,2020-01-23 15:08:53
140.35,8,3,Ivan,David,2020-03-15 01:28:05
855.14,18,13,Steve,Nora,2020-06-17 00:18:55
511.41,18,5,Steve,Frank,2020-04-13 12:54:35
325.32,12,15,Mia,Paul,2020-08-14 10:44:21
745.85,7,13,Hannah,Nora,2020-07-29 06:36:03
238.50,3,14,David,Oscar,2020-04-09 08:57:02
882.60,8,9,Ivan,Julia,2020-11-28 16:42:47
302.87,16,12,Quinn,Mia,2020-12-09 07:49:40
8.49,11,5,Lily,Frank,2020-07-27 20:40:54
953.39,5,3,Frank,David,2020-12-17 21:29:20
361.67,11,1,Lily,Bob,2020-02-17 14:42:47
797.71,20,1,Alice,Bob,2020-09-13 11:33:17
342.82,12,20,Mia,Alice,2020-12-26 19:45:36
645.20,10,7,Kyle,Hannah,2020-07-02 05:37:32
540.44,13,10,Nora,Kyle,2020-12-12 11:55:30
300.04,15,3,Paul,David,2020-05-13 11:18:32
492.62,15,5,Paul,Frank,2020-07-19 02:51:39
333.59,20,15,Alice,Paul,2020-08-28 17:37:53
948.18,18,5,Steve,Frank,2020-09-14 09:17:45
516.16,9,9,Julia,Julia,2020-02-11 10:31:12
188.22,12,3,Mia,David,2020-02-18 14:02:29
585.91,10,14,Kyle,Oscar,2020-02-01 17:43:10
150.99,8,7,Ivan,Hannah,2020-01-14 15:31:04
