amount,from_user_id,to_user_id,from_name,to_name,created_at
281.16,7,12,Hannah,Mia,2022-11-15 09:44:06
293.69,11,1,Lily,Bob,2022-12-15 10:15:59
441.87,5,14,Frank,Oscar,2022-12-08 09:12:03
525.05,5,4,Frank,Eva,2022-05-20 16:36:02
235.23,5,11,Frank,Lily,2022-02-24 00:45:10
536.63,13,18,Nora,Steve,2022-03-25 09:24:20
192.31,16,7,Quinn,Hannah,2022-05-18 02:30:39
40.78,11,2,Lily,Charlie,2022-10-04 09:34:49
90.13,15,14,Paul,Oscar,2022-09-30 11:56:40
484.20,19,8,Tina,Ivan,2022-03-07 00:06:49
872.54,13,11,Nora,Lily,2022-02-08 12:45:32
638.41,4,19,Eva,Tina,2022-09-24 02:02:40
988.41,13,2,Nora,Charlie,2022-04-28 20:37:03
498.97,4,20,Eva,Alice,2022-01-01 20:36:23
423.81,9,3,Julia,David,2022-10-19 17:05:11
442.38,2,7,Charlie,Hannah,2022-03-24 04:13:31
735.57,17,17,Rachel,Rachel,2022-06-18 21:53:11
806.83,11,11,Lily,Lily,2022-02-18 18:08:56
764.36,20,19,Alice,Tina,2022-12-01 16:26:46
937.20,3,17,David,Rachel,2022-06-04 10:49:34
458.86,7,20,Hannah,Alice,2022-12-01 14:27:22
994.26,1,6,Bob,Grace,2022-02-03 17:57:22
929.04,7,3,Hannah,David,2022-06-04 15:28:05
883.29,18,14,Steve,Oscar,2022-08-29 16:22:27
835.18,7,16,Hannah,Quinn,2022-12-15 20:26:31
597.57,17,11,Rachel,Lily,2022-12-07 20:25:18
747.34,8,5,Ivan,Frank,2022-03-14 15:10:12
984.53,8,8,Ivan,Ivan,2022-12-25 19:08:32
103.28,15,15,Paul,Paul,2022-06-24 23:03:24
653.47,1,8,Bob,Ivan,2022-10-13 19:43:44
3.44,19,14,Tina,Oscar,2022-10-12 16:26:33
942.73,19,16,Tina,Quinn,2022-09-16 19:46:02
84.48,4,19,Eva,Tina,2022-04-13 02:04:30
617.07,2,20,Charlie,Alice,2022-02-18 22:22:34
452.36,20,3,Alice,David,2022-01-29 09:16:34
96.68,12,11,Mia,Lily,2022-08-24 09:21:19
22.54,15,19,Paul,Tina,2022-04-25 16:49:58
817.99,15,12,Paul,Mia,2022-05-13 05:52:53
731.62,12,4,Mia,Eva,2022-10-08 18:03:29
957.44,8,3,Ivan,David,2022-03-04 16:26:15
62.67,17,10,Rachel,Kyle,2022-10-31 12:12:55
876.53,3,5,David,Frank,2022-11-07 03:05:30
862.69,20,20,Alice,Alice,2022-04-30 15:14:31
765.56,6,1,Grace,Bob,2022-03-17 01:11:04
895.77,15,16,Paul,Quinn,2022-01-06 23:37:25
233.76,16,9,Quinn,Julia,2022-03-07 18:53:13
863.61,13,14,Nora,Oscar,2022-08-27 00:32:34
372.69,14,13,Oscar,Nora,2022-11-28 13:07:34
358.74,14,19,Oscar,Tina,2022-02-20 16:54:43
233.98,7,14,Hannah,Oscar,2022-04-19 13:56:54
748.37,6,8,Grace,Ivan,2022-10-12 14:25:50
270.70,20,17,Alice,Rachel,2022-03-03 08:19:46
393.73,17,11,Rachel,Lily,2022-10-30 22:19:02
906.68,16,19,Quinn,Tina,2022-01-27 09:42:22
163.02,3,9,David,Julia,2022-09-27 20:40:31
458.34,8,16,Ivan,Quinn,2022-04-25 19:29:49
548.34,10,16,Kyle,Quinn,2022-12-24 05:14:27
119.18,1,13,Bob,Nora,2022-03-06 13:41:04
377.79,5,9,Frank,Julia,2022-04-27 12:03:05
657.78,18,4,Steve,Eva,2022-07-30 07:26:02
23.65,13,1,Nora,Bob,2022-06-02 22:53:59
167.07,16,19,Quinn,Tina,2022-02-20 11:09:56
318.96,19,1,Tina,Bob,2022-03-16 03:03:33
356.66,12,12,Mia,Mia,2022-10-22 22:07:36
416.95,13,12,Nora,Mia,2022-07-05 11:23:16
289.34,16,5,Quinn,Frank,2022-08-05 17:20:36
501.36,10,11,Kyle,Lily,2022-01-21 01:45:22
600.76,17,4,Rachel,Eva,2022-02-25 03:46:25
805.71,3,9,David,Julia,2022-11-30 21:13:01
331.38,4,2,Eva,Charlie,2022-01-28 23:11:30
255.02,2,1,Charlie,Bob,2022-02-03 05:05:33
626.06,7,13,Hannah,Nora,2022-05-03 15:17:45
217.72,8,2,Ivan,Charlie,2022-10-26 10:26:45
273.04,3,6,David,Grace,2022-09-22 22:35:01
134.97,4,13,Eva,Nora,2022-12-30 23:30:05
639.75,12,7,Mia,Hannah,2022-01-18 21:38:42
739.65,3,6,David,Grace,2022-04-28 16:49:16
857.12,20,4,Alice,Eva,2022-08-28 04:07:44
186.76,20,9,Alice,Julia,2022-09-01 15:09:33
839.81,12,8,Mia,Ivan,2022-02-12 12:57:12
139.98,15,6,Paul,Grace,2022-01-31 03:00:48
819.65,20,18,Alice,Steve,2022-03-06 22:19:15
908.79,11,13,Lily,Nora,2022-04-17 11:00:25
317.07,10,12,Kyle,Mia,2022-08-15 21:29:25
969.10,15,15,Paul,Paul,2022-11-08 00:31:56
16.75,10,15,Kyle,Paul,2022-04-29 05:26:58
346.04,4,17,Eva,Rachel,2022-06-13 06:25:24
148.23,4,18,Eva,Steve,2022-09-24 14:14:26
988.10,8,16,Ivan,Quinn,2022-07-17 13:20:22
184.50,11,18,Lily,Steve,2022-10-16 02:13:50
811.63,13,14,Nora,Oscar,2022-04-29 21:45:09
852.28,8,18,Ivan,Steve,2022-09-22 15:15:16
544.34,15,11,Paul,Lily,2022-06-07 09:13:33
917.86,14,18,Oscar,Steve,2022-09-13 09:53:29
396.48,17,3,Rachel,David,2022-05-05 17:12:30
829.51,4,9,Eva,Julia,2022-03-01 16:24:32
635.89,16,13,Quinn,Nora,2022-01-28 20:58:49
777.14,12,2,Mia,Charlie,2022-03-18 08:48:13
639.97,3,3,David,David,2022-07-07 05:09:02
166.40,18,14,Steve,Oscar,2022-09-17 10:33:26
523.81,20,2,Alice,Charlie,2022-03-21 17:37:53
769.49,8,9,Ivan,Julia,2022-07-22 15:47:21
101.79,11,5,Lily,Frank,2022-08-22 19:02:43
759.54,11,16,Lily,Quinn,2022-03-30 00:08:29
412.39,18,3,Steve,David,2022-11-10 00:19:08
427.43,9,13,Julia,Nora,2022-04-02 22:29:12
285.41,5,20,Frank,Alice,2022-09-27 19:38:37
735.58,6,6,Grace,Grace,2022-11-11 21:49:33
257.30,19,15,Tina,Paul,2022-03-28 23:49:54
139.12,11,16,Lily,Quinn,2022-12-30 21:33:54
721.15,2,7,Charlie,Hannah,2022-03-18 09:00:52
360.31,16,3,Quinn,David,2022-04-04 17:43:40
236.55,3,20,David,Alice,2022-03-29 19:24:37
538.82,12,12,Mia,Mia,2022-12-29 18:24:47
850.09,7,13,Hannah,Nora,2022-11-04 15:11:30
93.09,8,8,Ivan,Ivan,2022-06-13 03:49:17
846.52,16,3,Quinn,David,2022-09-09 04:32:12
71.67,12,20,Mia,Alice,2022-04-19 17:26:13
886.05,3,11,David,Lily,2022-03-07 04:23:00
871.02,9,20,Julia,Alice,2022-09-22 14:37:30
469.61,9,18,Julia,Steve,2022-10-05 12:16:15
196.33,7,14,Hannah,Oscar,2022-02-24 21:38:05
734.73,18,19,Steve,Tina,2022-12-07 21:26:31
593.33,9,8,Julia,Ivan,2022-12-27 19:27:49
959.66,19,13,Tina,Nora,2022-11-25 09:52:15
723.41,5,7,Frank,Hannah,2022-06-06 19:43:34
443.37,16,6,Quinn,Grace,2022-03-23 11:18:29
131.06,3,17,David,Rachel,2022-03-13 23:39:38
514.47,17,19,Rachel,Tina,2022-09-10 18:40:08
681.06,15,6,Paul,Grace,2022-01-09 06:42:07
297.40,20,1,Alice,Bob,2022-10-03 16:04:58
358.11,3,4,David,Eva,2022-09-13 10:03:22
729.97,18,15,Steve,Paul,2022-04-12 12:22:10
577.59,9,18,Julia,Steve,2022-07-23 16:57:36
291.32,15,13,Paul,Nora,2022-06-26 10:49:06
466.26,9,13,Julia,Nora,2022-05-29 22:29:48
418.47,4,8,Eva,Ivan,2022-01-21 07:46:25
665.08,4,6,Eva,Grace,2022-01-20 22:40:53
527.06,11,14,Lily,Oscar,2022-05-24 04:25:10
675.83,15,11,Paul,Lily,2022-09-28 06:12:45
598.39,8,18,Ivan,Steve,2022-06-15 06:05:13
57.66,17,11,Rachel,Lily,2022-05-04 21:31:18
647.87,12,20,Mia,Alice,2022-12-19 13:34:26
304.11,10,19,Kyle,Tina,2022-06-10 10:57:22
191.86,3,15,David,Paul,2022-07-16 19:14:36
846.19,9,19,Julia,Tina,2022-08-31 09:05:21
307.05,19,10,Tina,Kyle,2022-04-15 02:32:21
593.90,11,14,Lily,Oscar,2022-07-03 06:24:30
881.76,19,15,Tina,Paul,2022-06-01 08:24:27
86.05,3,16,David,Quinn,2022-02-23 09:16:37
10.19,11,13,Lily,Nora,2022-07-17 09:46:09
433.75,9,11,Julia,Lily,2022-02-03 07:07:02
322.35,11,10,Lily,Kyle,2022-05-27 17:53:39
